Restaurant Name,Inspection Date,Score,Address,Zip Code,Latitude,Longitude,Facility ID,Process Description
Subway,17-06-16,90,"2906 DUVAL ST, AUSTIN, TX 78705",78705,30.291587,-97.734351,10211742,Routine Inspection
Sterling Affairs Catering,27-07-15,93,"8423 RESEARCH BLVD NB, AUSTIN, TX 78758",78758,30.35921,-97.716152,10330960,Routine Inspection
Steampunk Saloon,13-07-16,92,"700 W 6TH ST, AUSTIN, TX 78701",78701,30.270012,-97.749764,11441813,Routine Inspection
Starbuck's Coffee Co #6256,20-11-14,94,"3637 FAR WEST BLVD, AUSTIN, TX 78731",78731,30.354762,-97.756107,2801229,Routine Inspection
Staybridge Hotel,26-07-16,95,"1611 AIRPORT COMMERCE DR, AUSTIN, TX 78741",78741,30.221809,-97.689793,10193322,Routine Inspection
St Francis School,10-04-16,96,"300 E HUNTLAND DR, AUSTIN, TX 78752",78752,30.330927,-97.710041,2802238,Routine Inspection
Starbucks Coffee #6284,13-01-15,95,"504 W 24TH ST, AUSTIN, TX 78705",78705,30.287775,-97.742548,2801411,Routine Inspection
Subway,08-05-15,94,"1801 E 51ST ST, AUSTIN, TX 78723",78723,30.302589,-97.697714,11065699,Routine Inspection
Starbucks Coffee # 20458,03-04-16,97,"1920 E RIVERSIDE DR Bunit 100, AUSTIN, TX 78741",78741,30.241939,-97.728297,11309856,Routine Inspection
Subway,30-09-16,92,"10700 ANDERSON MILL RD Unit 210, AUSTIN, TX 78750",78750,30.446998,-97.811418,11039317,Routine Inspection
St. Louis School,05-09-16,92,"2114 ST JOSEPH BLVD, AUSTIN, TX 78757",78757,30.351303,-97.731339,2800180,Routine Inspection
Subway,06-09-14,87,"4601 SOUTHWEST PKWY, AUSTIN, TX 78735",78735,30.239904,-97.831659,2802526,Routine Inspection
Starbucks Coffee #8632,22-01-15,92,"2300 S IH 35 SVRD SB, AUSTIN, TX 78704",78704,30.233333,-97.741946,2802363,Routine Inspection
Stiles Switch BBQ & Brew,24-08-16,85,"6610 N LAMAR BLVD, AUSTIN, TX 78757",78757,30.334131,-97.721182,10693117,Routine Inspection
Subway,10-05-16,83,"13376 N US 183 HWY SB Unit 510, AUSTIN, TX 78750",78750,30.445175,-97.788825,10223716,Routine Inspection
Stassney Food Mart,27-06-16,87,"5717 S IH 35 SVRD NB Bldg D, AUSTIN, TX 78744",78744,30.197695,-97.764084,11004150,Routine Inspection
Spicewood Elementary,09-10-14,100,"11601 OLSON DR, AUSTIN, TX 78750",78750,30.446111,-97.804274,2800243,Routine Inspection
The Barr Mansion,09-03-14,92,"10463 SPRINKLE RD, AUSTIN, TX 78754",78754,30.35207,-97.647055,2800683,Routine Inspection
"St. James Child Development Center, Child Inc",29-09-16,100,"1941 WEBBERVILLE RD, AUSTIN, TX 78721",78721,30.283554,-97.672975,11400309,Routine Inspection
Stonebridge SN Health Center,04-07-15,100,"11127 CIRCLE DR, AUSTIN, TX 78736",78736,30.227663,-97.951629,10372428,Routine Inspection
St. David's Episcopal Church,17-10-14,97,"301 E 8TH ST, AUSTIN, TX 78701",78701,30.269186,-97.739484,2802604,Routine Inspection
Starbucks  #6356,05-07-15,81,"1509 S LAMAR BLVD Unit 100, AUSTIN, TX 78704",78704,30.251939,-97.764498,2801683,Routine Inspection
Subway # 49510,28-07-15,94,"3220 FEATHERGRASS CT Unit 138, AUSTIN, TX 78758",78758,30.394922,-97.727364,11299024,Routine Inspection
State Theatre,18-05-15,96,"719 CONGRESS AVE, AUSTIN, TX 78701",78701,30.269711,-97.742205,2801218,Routine Inspection
Subway,28-08-14,93,"12129 N FM 620 RD Bunit 202, AUSTIN, TX 78750",78750,30.461589,-97.817802,2801660,Routine Inspection
Starbuck's Coffee #689,20-05-15,100,"600 CONGRESS AVE, AUSTIN, TX 78701",78701,30.268422,-97.742673,2800783,Routine Inspection
Strange Brew,23-06-15,82,"5326 MANCHACA RD, AUSTIN, TX 78745",78745,30.217518,-97.796058,10406269,Routine Inspection
Starbucks Coffee Company,22-10-14,97,"301 W 3RD ST, AUSTIN, TX 78701",78701,30.265989,-97.746453,11075085,Routine Inspection
Starbucks #6374,08-11-16,95,"7301 N FM 620 RD, AUSTIN, TX 78726",78726,30.40541,-97.853164,2801732,Routine Inspection
Starbucks Coffee #11556,17-08-15,100,"2505 W PARMER LN, AUSTIN, TX 78758",78758,30.419293,-97.702745,10061972,Routine Inspection
Subway,03-11-15,90,"2906 DUVAL ST, AUSTIN, TX 78705",78705,30.291587,-97.734351,10211742,Routine Inspection
