Pinterest Board,Pinboard URL,Image URL,Description,Pin Note,Original Link,Pinterest URL,Name,Week,Date Pinned
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/70/95/43/709543761eea902e517dc1fd8d7d5051.jpg,"“#MakeoverMonday on Wednesday! Please tell me what you think, good and bad https://t.co/127RTqGCTq”",Week 25 - Alex France,https://twitter.com/alexfrancypants/status/745728252719792128,https://www.pinterest.com/pin/468937379932430770/,Alex France,25,23-06-16 07:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/d8/0c/8a/d80c8aea2513953afe4462a0f413c5db.jpg,"“LIttle late on #MakeoverMonday of Crime in Japan data. ""Borrowed"" icons from @sarahlovesdata https://t.co/znvVFaNBgx”",Week 25 - Steve Fenn,https://twitter.com/stathunting/status/745255956724932609,https://www.pinterest.com/pin/468937379932406290/,Steve Fenn,25,21-06-16 15:30
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/f0/5c/b1/f05cb1c4f6531cd40211fa54ee3e7905.jpg,“A quick #MakeoverMonday on a Tuesday. @VizWizBI”,Week 25 - Anthony,https://twitter.com/amappiarius41/status/745273879472529409,https://www.pinterest.com/pin/468937379932406273/,Anthony,25,21-06-16 15:29
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/21/a4/3d/21a43df1f495ae3b86d447e8c1e0d2c5.jpg,,Week 21 - Studio Terp,https://www.behance.net/gallery/36021699/MakeOverMonday-datavisualization,https://www.pinterest.com/pin/468937379932403247/,Studio Terp,21,21-06-16 08:23
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/3b/5c/33/3b5c33e68f12ceb8b57ccb7a6f44425f.jpg,,Week 22 - Studio Terp,https://www.behance.net/gallery/36021699/MakeOverMonday-datavisualization,https://www.pinterest.com/pin/468937379932403237/,Studio Terp,22,21-06-16 08:22
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/39/b3/d9/39b3d9c2780dbc09c7133151bde89cd7.jpg,“#MakeoverMonday”,Week 25 - Nekoyamasan,https://twitter.com/nekoyamasan/status/745145671171211265,https://www.pinterest.com/pin/468937379932402596/,Nekoyamasan,25,21-06-16 06:53
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/d7/d6/e8/d7d6e881f255794bb88b093700019dbc.jpg,“Not feeling so creative for this week #MakeoverMonday Might take a second shot at it”,Week 25 - Hugues Stefanski,https://twitter.com/huguesstefanski/status/744990637548838913,https://www.pinterest.com/pin/468937379932402576/,Hugues Stefanski,25,21-06-16 06:52
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/c7/30/3f/c7303f7d35a0d2b96939b7cb933a177e.jpg,“Theft in Japan - #makeovermonday https://t.co/uzPZigR6cv Not in same league as some of the creative vizzes this wk!”,Week 25 - Neil Richards,https://twitter.com/theneilrichards/status/744992505884737537,https://www.pinterest.com/pin/468937379932402565/,Neil Richards,25,21-06-16 06:51
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/eb/35/c8/eb35c8871be83de05217830643092be5.jpg,"“My #MakeoverMonday submission, ""inspired"" by @mix_pix (and Raymond Chandler, and anime). https://t.co/duAvbU62lf”",Week 25 - Mike Cisneros,https://twitter.com/mikevizneros/status/745007700283658240,https://www.pinterest.com/pin/468937379932402550/,Mike Cisneros,25,21-06-16 06:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/4a/be/ea/4abeea9c02f5efc357c14682559f7fab.jpg,“It's been a while since I did a #makeovermonday post https://t.co/ey3M6rdRer via @tableaupublic”,Week 25 - Nai Louza,https://twitter.com/nai_louza/status/745017161551323136,https://www.pinterest.com/pin/468937379932402546/,Nai Louza,25,21-06-16 06:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/ea/9e/cb/ea9ecb128568d006049ac6df7dc200a5.jpg,"“Pie charts, now doughnut charts #MakeOverMonday what are you doing to me! https://t.co/1PcwnnboqR”",Week 25 - Rob Radburn,https://twitter.com/robradburn/status/745018768447930368,https://www.pinterest.com/pin/468937379932402539/,Rob Radburn,25,21-06-16 06:49
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/c4/a3/b1/c4a3b1b901afc275db1ce946f5160f56.jpg,“Had fun recreating the Japanese flag using data during this week's #makeovermonday https://t.co/Yn9C6P1R2B”,Week 25 - Bill Stuart,https://twitter.com/billstuart_viz/status/745024660195127297,https://www.pinterest.com/pin/468937379932402527/,Bill Stuart,25,21-06-16 06:48
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/4a/cb/3d/4acb3d8b0f0db361c06c2c96394d8763.jpg,“An Example from May (catching up) #MakeoverMonday”,Week 19 - Paul Rau,https://twitter.com/paumrau/status/745027834196824065,https://www.pinterest.com/pin/468937379932402520/,Paul Rau,19,21-06-16 06:47
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/fc/67/bc/fc67bc6fb7d743232e6ee7eb1daee701.jpg,“And Week 3 off the list too! #MakeoverMonday #SuperSimple https://t.co/6OuUQwJQfK”,Week 3 - Charlie H,https://twitter.com/charliehtableau/status/745191174646992896,https://www.pinterest.com/pin/468937379932404891/,Charlie H,3,21-06-16 13:00
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/a1/8e/f8/a18ef899b9d931b58e47e400aec0ea9b.jpg,“Please be careful for your bicycle!! #MakeoverMonday #data16”,Week 25 - ????,https://twitter.com/tabcmd/status/745133424713703424,https://www.pinterest.com/pin/468937379932402446/,????,25,21-06-16 06:38
